N,Profilo,Rolls,Stress,Echi,PFinal,PFract,Partial,Blocked2,FreeShare,Plus2Share,Pieno,Parziale,Dolorosa,Collasso
2,bilanciato,8.981333333333334,2.5594,6.1827000000000005,0.20573333333333332,0.16703333333333334,0.3249666666666667,0.5715,0.6450689867686034,0.08396004494881892,0.007805219746138468,0.11043929790933808,0.4298445904373978,0.4519108919071256
2,concentrato,4.995866666666667,0.6494333333333333,5.628266666666666,0.005033333333333333,0.08386666666666666,0.018566666666666665,0.05280000000000001,0.6535373829936116,0.08941382038619687,0.08677701536523359,0.2462420044395852,0.40042828549929893,0.2665526946958823
2,esplorativo,9.632166666666667,2.701033333333333,5.235833333333333,0.20866666666666667,0.10676666666666666,0.36283333333333334,0.07176666666666666,0.8163750352647883,0.02228204693941405,0.00103965932556769,0.041910326993324774,0.3993985170615127,0.5576514966195948
2,ottimizzatore_gratuito,4.9985,0.40453333333333336,6.0838,0.0009000000000000001,0.1392,0.005966666666666666,0.0,0.921454789056204,0.0,0.10329025390695686,0.2711358614959737,0.39545095337433667,0.23012293122273283
2,profondo,8.667,3.0902333333333334,5.360933333333333,0.31446666666666667,0.0898,0.4386333333333334,1.7635333333333332,0.4058823626168302,0.241417860825513,0.005312015333395904,0.0822619937757597,0.4140082056881648,0.4984177852026796
3,bilanciato,8.9339,2.414433333333333,6.169233333333333,0.18276666666666666,0.17116666666666666,0.29363333333333336,0.5797666666666667,0.6436575887621613,0.08310673176778677,0.009225344407101191,0.12255927420081986,0.4431568727258658,0.4250585086662132
3,concentrato,4.993166666666667,0.6103999999999999,5.5847,0.003966666666666667,0.08856666666666667,0.0156,0.06616666666666667,0.6589963808646881,0.08655258499256109,0.09644695551394397,0.2572484345818385,0.39645363453991944,0.24985097536429807
3,esplorativo,9.604666666666667,2.6180333333333334,5.3575,0.19263333333333332,0.1069,0.3384666666666667,0.0757,0.8164840572433507,0.021525548486180705,0.001142066815659695,0.047044710295098595,0.42073320078611925,0.5310800221031224
3,ottimizzatore_gratuito,4.997433333333333,0.38053333333333333,6.0497,0.0007666666666666667,0.1519333333333333,0.0054,0.0,0.9219148366564475,0.0,0.11458304119620731,0.28079278427097754,0.3870525578012206,0.2175716167315945
3,profondo,8.639866666666666,2.9602666666666666,5.413833333333333,0.28823333333333334,0.0935,0.4090666666666667,1.7683666666666666,0.4067081548454675,0.23772878324190475,0.006300176990610874,0.09210025089461626,0.43090464320004745,0.4706949289147254
4,bilanciato,8.8737,2.3125,6.0924,0.156,0.1618,0.284,0.5694,0.6501344210623899,0.08093074997682395,0.010514216166875147,0.13080225835897089,0.45104071582316285,0.40764280965099114
4,concentrato,4.9899,0.5847,5.4864,0.0027,0.0853,0.0128,0.0743,0.6615195436127966,0.08283105206926442,0.1048718411190605,0.2711276779093769,0.38898575121745926,0.23501472975410329
4,esplorativo,9.5966,2.4972,5.3249,0.1639,0.0989,0.3145,0.0763,0.8193934999573488,0.021336262048963574,0.0015422128670570827,0.0503094846091324,0.4413542296229915,0.506794072900819
4,ottimizzatore_gratuito,4.9971,0.3586,5.911,0.0002,0.1383,0.0031,0.0,0.9228638525922803,0.0,0.12155049928958796,0.29657201176682474,0.3824017930399632,0.1994756959036241
4,profondo,8.566,2.8513,5.3155,0.2596,0.0815,0.3962,1.757,0.41019126773854026,0.2385100231069817,0.007062806444081251,0.10079383609619426,0.44457156198925984,0.4475717954704646
